Philosopher, time of waiting for dining,
4, 0, 
1, 0, 
3, 1013, 
0, 8581, 
2, 8584, 
1, 2743, 
4, 9161, 
3, 6868, 
4, 1411, 
2, 3622, 
1, 1, 
3, 1, 
0, 9757, 
2, 970, 
4, 1146, 
1, 4413, 
3, 3800, 
0, 9533, 
2, 9600, 
4, 6033, 
1, 0, 
3, 0, 
0, 2562, 
2, 8649, 
4, 1169, 
1, 1585, 
0, 4825, 
2, 538, 
1, 6431, 
4, 12412, 
2, 14439, 
0, 2100, 
3, 25348, 
1, 298, 
4, 2357, 
3, 0, 
1, 0, 
0, 0, 
2, 6214, 
4, 3648, 
0, 2220, 
3, 0, 
1, 6845, 
0, 1219, 
2, 8680, 
1, 6094, 
4, 16213, 
3, 8097, 
4, 1, 
2, 12374, 
0, 7930, 
1, 895, 
3, 8502, 
4, 268, 
0, 2293, 
2, 2917, 
3, 0, 
4, 1, 
1, 1, 
4, 0, 
2, 2343, 
1, 5941, 
3, 6445, 
0, 10275, 
2, 2715, 
4, 3071, 
2, 1, 
0, 1052, 
1, 1433, 
3, 2000, 
3, 0, 
4, 134, 
1, 1, 
3, 897, 
0, 8948, 
2, 9782, 
4, 1, 
1, 6088, 
3, 1949, 
1, 0, 
2, 9049, 
0, 8233, 
4, 2857, 
2, 0, 
1, 1, 
0, 1951, 
2, 0, 
4, 8574, 
1, 2980, 
3, 13600, 
0, 7377, 
0, 0, 
2, 6783, 
4, 2215, 
1, 1737, 
3, 1, 
0, 3721, 
2, 5963, 
2, 0, 
4, 10275, 
1, 8242, 
3, 8462, 
0, 8362, 
4, 390, 
1, 0, 
2, 748, 
0, 0, 
3, 6584, 
4, 10875, 
1, 4623, 
3, 0, 
0, 1766, 
2, 3770, 
1, 6031, 
3, 5430, 
0, 5633, 
2, 1060, 
4, 12582, 
0, 0, 
3, 1, 
1, 11581, 
4, 3252, 
2, 3995, 
0, 2169, 
3, 8758, 
2, 2951, 
4, 5913, 
1, 6516, 
2, 6729, 
0, 5002, 
4, 10168, 
1, 4895, 
2, 6626, 
0, 2201, 
1, 1269, 
3, 21602, 
2, 3126, 
0, 6783, 
4, 7543, 
3, 2547, 
2, 389, 
4, 982, 
1, 1, 
2, 290, 
0, 242, 
1, 8193, 
3, 3847, 
0, 2424, 
1, 0, 
4, 12311, 
2, 4692, 
0, 5504, 
3, 11887, 
1, 5338, 
2, 3516, 
0, 4169, 
4, 14723, 
1, 0, 
2, 5586, 
0, 3680, 
3, 20749, 
4, 407, 
1, 0, 
3, 1026, 
2, 594, 
4, 2397, 
0, 0, 
3, 211, 
4, 3920, 
1, 9702, 
0, 8921, 
2, 14617, 
4, 10619, 
1, 68, 
3, 9752, 
2, 4003, 
0, 0, 
0, 0, 
3, 5875, 
1, 12367, 
4, 8840, 
2, 1270, 
0, 2091, 
3, 13121, 
1, 2919, 
0, 0, 
2, 8164, 
2, 1, 
4, 11999, 
0, 1236, 
3, 2719, 
1, 8496, 
0, 4485, 
2, 8437, 
4, 12885, 
1, 6588, 
3, 7065, 
0, 8755, 
2, 3850, 
4, 2443, 
1, 5809, 
3, 10415, 
0, 12636, 
2, 4412, 
4, 9871, 
3, 4309, 
1, 3255, 
0, 0, 
4, 11532, 
1, 2817, 
3, 3649, 
0, 0, 
2, 10538, 
4, 7641, 
1, 6544, 
3, 10049, 
0, 6606, 
2, 16906, 
4, 2504, 
1, 1266, 
1, 1, 
3, 5275, 
0, 10376, 
2, 6253, 
4, 7513, 
1, 4086, 
2, 4357, 
0, 0, 
1, 8309, 
3, 12238, 
4, 3661, 
2, 0, 
0, 4271, 
3, 9356, 
1, 7204, 
4, 2069, 
1, 0, 
3, 3899, 
0, 6121, 
2, 12053, 
4, 21, 
1, 10663, 
3, 1065, 
0, 12045, 
1, 7362, 
4, 9878, 
2, 14305, 
0, 3023, 
3, 20186, 
1, 4790, 
0, 2709, 
2, 2679, 
4, 4819, 
0, 0, 
3, 4409, 
1, 1, 
4, 320, 
2, 3002, 
0, 1288, 
3, 3983, 
0, 0, 
1, 3487, 
4, 8991, 
2, 844, 
4, 1, 
1, 4015, 
3, 2219, 
0, 4346, 
1, 583, 
4, 809, 
2, 4166, 
3, 3977, 
0, 0, 
1, 0, 
4, 0, 
3, 3479, 
0, 4593, 
2, 13235, 
4, 1759, 
1, 3014, 
0, 6118, 
3, 6967, 
4, 1605, 
2, 3442, 
1, 6228, 
3, 1688, 
0, 9443, 
2, 670, 
2, 0, 
4, 9280, 
1, 1, 
3, 9439, 
0, 2975, 
2, 9641, 
0, 0, 
1, 9520, 
4, 4593, 
0, 2238, 
3, 8683, 
2, 459, 
4, 4724, 
1, 8260, 
3, 7356, 
0, 8105, 
2, 10407, 
4, 0, 
2, 0, 
1, 0, 
3, 1778, 
0, 8369, 
2, 1549, 
1, 5223, 
4, 13576, 
2, 11102, 
1, 0, 
3, 18467, 
0, 6024, 
2, 4527, 
4, 9052, 
0, 1642, 
4, 6253, 
1, 13247, 
2, 10452, 
0, 5373, 
3, 12429, 
4, 696, 
