Philosopher, time of waiting for dining,
4, 1, 
3, 8454, 
2, 9906, 
1, 12508, 
0, 16952, 
4, 7833, 
2, 0, 
1, 5503, 
3, 5880, 
0, 921, 
1, 0, 
4, 0, 
0, 756, 
3, 1, 
0, 0, 
2, 5102, 
4, 2685, 
1, 5152, 
3, 3200, 
0, 10697, 
2, 6523, 
1, 3702, 
4, 12047, 
3, 0, 
0, 7861, 
2, 6823, 
4, 16235, 
3, 15091, 
2, 11978, 
1, 13498, 
0, 14256, 
4, 9008, 
3, 12080, 
2, 18486, 
1, 18887, 
0, 17685, 
4, 18027, 
3, 16969, 
2, 11652, 
1, 13070, 
0, 19745, 
4, 13948, 
3, 19542, 
2, 18401, 
1, 10833, 
0, 6204, 
4, 17358, 
3, 16615, 
2, 15196, 
1, 22854, 
0, 23479, 
4, 13553, 
3, 13141, 
2, 19975, 
1, 16754, 
0, 10460, 
4, 14197, 
3, 19400, 
2, 21107, 
1, 26509, 
0, 18360, 
4, 11453, 
3, 8707, 
2, 9586, 
1, 7601, 
0, 12469, 
4, 12789, 
3, 9688, 
2, 13671, 
1, 10568, 
0, 13497, 
4, 21369, 
3, 27221, 
2, 20537, 
1, 17723, 
0, 18398, 
4, 10531, 
3, 16256, 
2, 12389, 
1, 7698, 
0, 5444, 
4, 15523, 
3, 10683, 
2, 12312, 
1, 16706, 
0, 16561, 
4, 15694, 
3, 23382, 
2, 14157, 
1, 12051, 
0, 14432, 
4, 12327, 
3, 17219, 
2, 25090, 
1, 15249, 
0, 20579, 
4, 23761, 
3, 30722, 
2, 29495, 
1, 16928, 
0, 24030, 
4, 14467, 
3, 16822, 
2, 20734, 
1, 8879, 
0, 13564, 
4, 3891, 
3, 5396, 
2, 12582, 
1, 12800, 
0, 11320, 
4, 13816, 
3, 7517, 
2, 7567, 
4, 6800, 
1, 8333, 
0, 7229, 
2, 6026, 
4, 10848, 
3, 15651, 
2, 18088, 
1, 28644, 
0, 19378, 
4, 24936, 
3, 24918, 
2, 10623, 
1, 11964, 
3, 1485, 
0, 15794, 
2, 5894, 
4, 8346, 
1, 1282, 
3, 1, 
0, 66, 
2, 2421, 
4, 5525, 
1, 4475, 
0, 2960, 
3, 7694, 
4, 4155, 
1, 3888, 
3, 3044, 
4, 1964, 
4, 1, 
2, 8720, 
0, 0, 
4, 0, 
1, 4447, 
3, 5102, 
0, 6005, 
2, 3647, 
4, 7067, 
1, 2214, 
3, 13619, 
0, 0, 
2, 722, 
4, 6360, 
1, 7755, 
3, 2822, 
0, 7890, 
2, 1772, 
4, 12261, 
1, 9021, 
3, 9545, 
0, 0, 
2, 3500, 
4, 1733, 
1, 8854, 
3, 2354, 
2, 2486, 
1, 1884, 
4, 0, 
3, 3060, 
0, 5293, 
2, 9840, 
4, 3515, 
1, 5210, 
1, 0, 
3, 12403, 
0, 11089, 
2, 8701, 
4, 7078, 
1, 9776, 
3, 5466, 
0, 3049, 
2, 430, 
4, 1287, 
1, 0, 
3, 10781, 
0, 2593, 
2, 11867, 
0, 1, 
4, 2663, 
1, 4223, 
3, 9029, 
0, 2346, 
3, 0, 
2, 2499, 
4, 1224, 
1, 12214, 
3, 5422, 
0, 8426, 
4, 7165, 
0, 409, 
3, 4404, 
2, 6452, 
1, 8874, 
0, 9838, 
4, 1889, 
3, 9665, 
2, 8709, 
1, 9019, 
0, 15875, 
4, 3073, 
3, 3550, 
0, 0, 
2, 11350, 
4, 3199, 
1, 14103, 
3, 1389, 
0, 15002, 
2, 2615, 
4, 7049, 
1, 3639, 
3, 13402, 
0, 1, 
2, 11411, 
4, 4444, 
4, 0, 
1, 8743, 
3, 7863, 
0, 5755, 
2, 3260, 
4, 200, 
3, 0, 
0, 1, 
2, 3876, 
4, 7433, 
1, 9866, 
4, 0, 
3, 4183, 
0, 4918, 
2, 11858, 
4, 2613, 
1, 3913, 
3, 2959, 
0, 553, 
2, 0, 
4, 3783, 
1, 4462, 
3, 1340, 
0, 10, 
4, 1653, 
1, 0, 
3, 3853, 
0, 6738, 
2, 3679, 
4, 5218, 
1, 0, 
3, 5885, 
0, 3461, 
2, 1397, 
4, 0, 
1, 0, 
4, 1, 
3, 6119, 
0, 3004, 
2, 5866, 
4, 0, 
0, 1790, 
3, 0, 
2, 5161, 
4, 8166, 
1, 13249, 
3, 1596, 
0, 10651, 
2, 7680, 
4, 10054, 
1, 1, 
3, 8302, 
0, 6087, 
2, 7148, 
4, 552, 
1, 4055, 
3, 0, 
0, 1, 
2, 1, 
1, 9027, 
0, 8190, 
4, 15285, 
3, 16440, 
2, 21606, 
1, 19259, 
0, 20411, 
4, 19420, 
3, 13894, 
2, 12400, 
1, 16606, 
0, 15062, 
4, 19096, 
3, 17608, 
2, 18298, 
1, 21905, 
0, 15334, 
4, 7691, 
1, 2913, 
3, 10365, 
0, 4476, 
2, 11478, 
4, 9682, 
1, 104, 
3, 8778, 
0, 12290, 
2, 9815, 
4, 8636, 
1, 532, 
3, 3333, 
4, 1454, 
3, 6625, 
0, 5806, 
2, 15877, 
4, 4053, 
1, 4283, 
3, 0, 
0, 12095, 
2, 9628, 
4, 14637, 
1, 6064, 
3, 9248, 
0, 1653, 
2, 6384, 
4, 5145, 
1, 0, 
3, 4181, 
0, 5688, 
2, 2032, 
4, 3104, 
4, 0, 
1, 6782, 
3, 4943, 
0, 1003, 
2, 0, 
4, 1052, 
4, 0, 
1, 13640, 
3, 11978, 
0, 1803, 
2, 8973, 
4, 1056, 
1, 15085, 
3, 1257, 
3, 0, 
0, 11390, 
2, 4412, 
4, 7954, 
3, 0, 
0, 0, 
2, 1, 
4, 2885, 
1, 5239, 
2, 1767, 
0, 949, 
4, 8669, 
3, 14935, 
2, 17294, 
1, 20956, 
0, 9473, 
4, 18106, 
3, 23039, 
2, 20185, 
1, 30523, 
0, 30468, 
4, 20299, 
3, 21632, 
2, 29950, 
1, 23102, 
0, 17381, 
4, 22072, 
3, 17112, 
2, 16859, 
1, 17474, 
0, 10125, 
4, 14506, 
3, 13812, 
2, 16709, 
1, 19716, 
0, 20586, 
4, 28498, 
3, 17463, 
2, 20463, 
1, 15443, 
0, 11278, 
4, 22987, 
3, 20982, 
2, 17601, 
1, 16408, 
0, 14806, 
4, 12886, 
3, 4660, 
0, 0, 
2, 4082, 
1, 5019, 
4, 1, 
3, 7503, 
0, 3769, 
2, 4082, 
4, 0, 
1, 2431, 
3, 3459, 
0, 7500, 
2, 6516, 
4, 6795, 
0, 1732, 
3, 0, 
1, 3506, 
4, 7658, 
3, 0, 
0, 3578, 
2, 13835, 
4, 2150, 
1, 0, 
3, 3193, 
0, 3212, 
2, 4690, 
4, 5337, 
0, 563, 
4, 0, 
1, 2377, 
3, 3967, 
0, 1636, 
2, 2332, 
4, 1519, 
1, 8233, 
3, 0, 
0, 5369, 
2, 0, 
4, 4126, 
4, 1, 
1, 3497, 
3, 7870, 
0, 1423, 
2, 1662, 
3, 0, 
1, 2580, 
2, 0, 
4, 0, 
1, 1262, 
3, 3181, 
0, 5081, 
2, 843, 
4, 3944, 
1, 8974, 
3, 7418, 
0, 8496, 
2, 0, 
4, 0, 
1, 183, 
3, 1, 
0, 2946, 
2, 3947, 
4, 1206, 
1, 13769, 
3, 3344, 
0, 12732, 
2, 1699, 
4, 5047, 
4, 0, 
1, 1565, 
3, 7659, 
0, 2288, 
2, 0, 
4, 0, 
1, 3309, 
3, 1117, 
0, 14189, 
2, 366, 
4, 7869, 
3, 6971, 
2, 8032, 
1, 13171, 
0, 13229, 
4, 6408, 
3, 8207, 
2, 9192, 
1, 11811, 
3, 841, 
0, 9738, 
2, 0, 
2, 1, 
4, 4441, 
1, 5280, 
3, 2160, 
0, 1, 
2, 1696, 
4, 1, 
1, 1106, 
3, 8347, 
2, 3987, 
4, 0, 
1, 4700, 
3, 1508, 
0, 15846, 
2, 2991, 
4, 7965, 
3, 3372, 
2, 0, 
1, 7056, 
0, 12384, 
4, 12946, 
3, 13573, 
2, 18449, 
1, 11462, 
0, 15915, 
4, 13549, 
3, 2581, 
2, 10778, 
1, 13991, 
0, 17697, 
4, 16714, 
3, 8644, 
2, 11558, 
4, 0, 
1, 8601, 
3, 0, 
0, 3292, 
4, 2918, 
2, 1, 
1, 0, 
3, 0, 
0, 6895, 
2, 4733, 
4, 0, 
1, 486, 
1, 0, 
3, 5918, 
0, 4205, 
2, 0, 
4, 3895, 
1, 142, 
3, 7924, 
0, 9219, 
2, 4676, 
4, 3147, 
1, 0, 
1, 0, 
1, 0, 
3, 8577, 
0, 9213, 
4, 11832, 
3, 21088, 
2, 25037, 
1, 22631, 
3, 0, 
0, 18584, 
2, 6063, 
4, 1564, 
3, 2203, 
2, 3883, 
1, 10100, 
0, 11556, 
4, 25548, 
3, 20781, 
2, 11966, 
1, 14264, 
0, 8580, 
4, 10727, 
3, 16114, 
2, 14326, 
1, 18385, 
0, 24716, 
4, 20357, 
3, 13105, 
2, 14581, 
1, 21968, 
0, 15719, 
4, 13615, 
3, 17846, 
2, 17210, 
1, 14009, 
0, 19115, 
4, 26122, 
3, 19080, 
2, 15125, 
1, 17874, 
0, 14562, 
4, 21930, 
3, 21033, 
2, 15812, 
1, 21820, 
3, 4189, 
0, 13716, 
4, 5712, 
3, 8074, 
0, 2667, 
2, 7756, 
4, 1, 
1, 11900, 
3, 10473, 
0, 3832, 
2, 6742, 
4, 373, 
1, 9591, 
3, 9323, 
0, 12780, 
2, 70, 
4, 3415, 
0, 775, 
4, 0, 
1, 5504, 
3, 7712, 
0, 11367, 
2, 554, 
4, 7841, 
3, 8295, 
2, 11897, 
1, 16822, 
0, 14859, 
4, 11737, 
3, 16744, 
2, 18370, 
1, 22915, 
0, 20300, 
4, 23955, 
3, 15153, 
2, 22407, 
1, 19948, 
0, 20983, 
4, 21529, 
3, 9656, 
2, 13882, 
1, 18254, 
0, 15143, 
4, 18560, 
3, 11105, 
0, 0, 
2, 2806, 
4, 811, 
4, 0, 
1, 9811, 
3, 8785, 
4, 649, 
2, 1380, 
0, 1257, 
1, 3804, 
3, 4491, 
4, 3323, 
0, 15, 
2, 1, 
4, 0, 
1, 2269, 
3, 6682, 
0, 5704, 
2, 6933, 
4, 8712, 
1, 11572, 
3, 2843, 
0, 10366, 
2, 4185, 
4, 11553, 
2, 0, 
1, 3745, 
3, 6488, 
0, 15213, 
2, 2434, 
2, 1, 
4, 8405, 
1, 3676, 
3, 3484, 
3, 0, 
0, 12487, 
2, 11923, 
4, 7174, 
1, 1301, 
0, 7127, 
2, 0, 
1, 3091, 
3, 6814, 
0, 7813, 
2, 3647, 
4, 9885, 
1, 5972, 
3, 1844, 
0, 3585, 
2, 2599, 
4, 11339, 
1, 10023, 
3, 6600, 
0, 1757, 
2, 6631, 
4, 3512, 
3, 11535, 
2, 5687, 
1, 16039, 
0, 14241, 
4, 11455, 
3, 18520, 
2, 23012, 
1, 18917, 
0, 24025, 
4, 15229, 
3, 14294, 
2, 14470, 
1, 13259, 
0, 23756, 
4, 12544, 
3, 11043, 
2, 14210, 
1, 12681, 
0, 18794, 
4, 29669, 
3, 26140, 
2, 27150, 
1, 11972, 
0, 12705, 
4, 11950, 
3, 11132, 
2, 11211, 
1, 8894, 
0, 7704, 
2, 510, 
4, 4615, 
1, 0, 
3, 3908, 
0, 5782, 
2, 7884, 
4, 1379, 
1, 10435, 
3, 3614, 
0, 8979, 
2, 2545, 
4, 3554, 
1, 5053, 
3, 2881, 
2, 287, 
0, 5308, 
4, 18626, 
3, 11326, 
2, 13201, 
1, 18730, 
0, 19838, 
4, 20103, 
3, 16266, 
2, 14114, 
4, 0, 
1, 23126, 
0, 7062, 
4, 3936, 
3, 9557, 
2, 9211, 
1, 18584, 
3, 3871, 
0, 19676, 
2, 7731, 
4, 11918, 
1, 3265, 
3, 4225, 
0, 2333, 
2, 37, 
2, 0, 
4, 4403, 
1, 9820, 
3, 6072, 
0, 6125, 
2, 5074, 
4, 5006, 
1, 5683, 
3, 771, 
0, 751, 
2, 5239, 
4, 9441, 
1, 265, 
3, 0, 
0, 2900, 
2, 4162, 
4, 4764, 
1, 0, 
3, 412, 
0, 2974, 
2, 3536, 
4, 7543, 
1, 9227, 
0, 10306, 
4, 17714, 
3, 22146, 
2, 24430, 
1, 17594, 
0, 8546, 
4, 14828, 
3, 21838, 
2, 19051, 
1, 18578, 
3, 1, 
0, 17269, 
4, 3304, 
2, 0, 
1, 1721, 
3, 7323, 
0, 5770, 
2, 8986, 
4, 9484, 
1, 1843, 
1, 0, 
3, 6779, 
0, 7249, 
2, 6188, 
4, 0, 
1, 782, 
0, 966, 
3, 1, 
4, 2892, 
1, 0, 
3, 10678, 
2, 13798, 
1, 16886, 
0, 21604, 
4, 17928, 
3, 19693, 
2, 28737, 
1, 20539, 
0, 14884, 
4, 11388, 
3, 7156, 
0, 277, 
2, 7042, 
4, 7741, 
1, 7166, 
3, 2657, 
0, 739, 
2, 6615, 
4, 1532, 
1, 9284, 
3, 4372, 
0, 1470, 
4, 8901, 
3, 8165, 
2, 11138, 
1, 18383, 
0, 20172, 
4, 26450, 
3, 21582, 
2, 21093, 
1, 24091, 
0, 16159, 
4, 14574, 
3, 8675, 
2, 15139, 
1, 8543, 
0, 13104, 
4, 12744, 
3, 15467, 
2, 13026, 
1, 19945, 
0, 20983, 
4, 21303, 
3, 17869, 
2, 18039, 
4, 0, 
1, 13878, 
0, 10142, 
4, 8902, 
1, 2251, 
0, 5198, 
3, 19450, 
2, 9939, 
4, 1, 
1, 7708, 
3, 4527, 
0, 5076, 
2, 6875, 
4, 1393, 
1, 9994, 
0, 10513, 
4, 8521, 
3, 22107, 
2, 10802, 
1, 15206, 
0, 20723, 
4, 19820, 
3, 19235, 
2, 17562, 
1, 13557, 
3, 2689, 
0, 18767, 
2, 6352, 
4, 11941, 
1, 7296, 
3, 7237, 
0, 3902, 
2, 3066, 
4, 8465, 
1, 7003, 
3, 7525, 
0, 3822, 
2, 5105, 
4, 3778, 
1, 3144, 
3, 0, 
0, 1, 
2, 9289, 
4, 3316, 
1, 6283, 
3, 8902, 
0, 6465, 
2, 6186, 
4, 7654, 
1, 5887, 
0, 4743, 
4, 2997, 
3, 7113, 
2, 11233, 
1, 14936, 
0, 14770, 
4, 9459, 
1, 779, 
3, 4496, 
0, 4881, 
0, 0, 
2, 10790, 
4, 668, 
1, 5113, 
3, 9375, 
0, 9784, 
2, 0, 
4, 3173, 
3, 3451, 
1, 5024, 
0, 12349, 
4, 12202, 
3, 15938, 
2, 24759, 
1, 22975, 
0, 18947, 
4, 8378, 
3, 4908, 
2, 7945, 
4, 3683, 
1, 10729, 
3, 0, 
0, 8220, 
2, 0, 
4, 4646, 
1, 4761, 
3, 7210, 
4, 1245, 
3, 1, 
0, 7440, 
2, 2318, 
4, 3990, 
1, 1, 
3, 6678, 
0, 3157, 
4, 2082, 
2, 9060, 
1, 10617, 
3, 1516, 
0, 6883, 
2, 5356, 
4, 6639, 
1, 6510, 
3, 2900, 
0, 996, 
2, 3295, 
3, 1, 
4, 3140, 
1, 699, 
3, 2056, 
0, 1, 
4, 3506, 
2, 13769, 
1, 10107, 
3, 5897, 
0, 12331, 
2, 2101, 
4, 6427, 
1, 1943, 
3, 4394, 
0, 0, 
2, 2762, 
2, 0, 
4, 0, 
1, 3441, 
3, 9397, 
0, 104, 
2, 3533, 
4, 7520, 
1, 10218, 
3, 4438, 
3, 0, 
0, 12657, 
2, 0, 
1, 2529, 
4, 5585, 
2, 1444, 
1, 846, 
3, 7567, 
0, 8283, 
2, 5597, 
1, 0, 
0, 7139, 
4, 6373, 
3, 8436, 
2, 12382, 
1, 17016, 
0, 17556, 
4, 24567, 
3, 13448, 
2, 10849, 
1, 7971, 
0, 14628, 
4, 21757, 
3, 16298, 
2, 21004, 
1, 29657, 
0, 26529, 
4, 26041, 
3, 31739, 
2, 31539, 
1, 27549, 
0, 22087, 
4, 24416, 
3, 20233, 
2, 13838, 
1, 17571, 
0, 17848, 
4, 22116, 
3, 21795, 
2, 29036, 
1, 21505, 
0, 22562, 
4, 19834, 
3, 18582, 
2, 18720, 
1, 16259, 
3, 0, 
0, 9315, 
4, 7201, 
3, 3859, 
2, 3490, 
1, 13097, 
0, 3077, 
4, 0, 
3, 5631, 
2, 13363, 
1, 18627, 
0, 23392, 
4, 24263, 
3, 19757, 
2, 19121, 
1, 13801, 
0, 18941, 
4, 19328, 
3, 18981, 
2, 23190, 
1, 20078, 
0, 19761, 
4, 16040, 
3, 16258, 
2, 24739, 
1, 28419, 
0, 25139, 
4, 27760, 
3, 19676, 
2, 13302, 
1, 10814, 
3, 0, 
0, 3505, 
2, 1446, 
4, 0, 
1, 2090, 
3, 4685, 
0, 6118, 
2, 6344, 
4, 6401, 
3, 9963, 
2, 11811, 
1, 20564, 
0, 20184, 
4, 12146, 
3, 10707, 
2, 5101, 
1, 13590, 
0, 15334, 
4, 21622, 
3, 22689, 
2, 18613, 
1, 15992, 
0, 15427, 
4, 4649, 
3, 5849, 
0, 0, 
2, 10168, 
4, 0, 
1, 14717, 
0, 8397, 
4, 10778, 
3, 22827, 
2, 22281, 
1, 16667, 
0, 14782, 
4, 15899, 
3, 14913, 
2, 16406, 
1, 8687, 
0, 10717, 
4, 14038, 
3, 13627, 
2, 17011, 
1, 14442, 
0, 19545, 
4, 10168, 
3, 16154, 
2, 18896, 
1, 23258, 
0, 22302, 
4, 24908, 
3, 31435, 
2, 27522, 
1, 24672, 
0, 13420, 
4, 5325, 
1, 0, 
3, 10906, 
0, 9075, 
2, 8067, 
4, 9171, 
1, 3617, 
3, 5691, 
0, 7426, 
2, 1262, 
4, 9058, 
3, 8024, 
2, 13174, 
1, 14586, 
0, 11444, 
2, 3576, 
4, 14428, 
1, 4451, 
0, 2387, 
3, 8344, 
2, 4016, 
1, 2584, 
4, 0, 
3, 27, 
0, 0, 
2, 72, 
4, 4985, 
1, 7111, 
3, 10433, 
0, 0, 
2, 6893, 
4, 1, 
3, 190, 
1, 6201, 
0, 4113, 
2, 0, 
4, 4726, 
1, 0, 
3, 6206, 
0, 3282, 
2, 5926, 
4, 4039, 
1, 7529, 
3, 0, 
0, 13670, 
2, 6331, 
4, 13605, 
1, 8950, 
2, 154, 
0, 1553, 
3, 787, 
2, 1486, 
4, 4053, 
1, 10137, 
3, 5434, 
0, 6562, 
2, 7540, 
4, 2340, 
1, 1326, 
4, 0, 
3, 767, 
0, 4308, 
2, 12234, 
4, 7069, 
1, 3676, 
3, 2035, 
1, 1, 
4, 0, 
3, 0, 
0, 2450, 
2, 4103, 
4, 7139, 
1, 6483, 
3, 10565, 
0, 6116, 
2, 0, 
4, 1232, 
1, 1068, 
3, 6511, 
0, 11226, 
2, 14281, 
4, 4176, 
1, 6448, 
3, 5536, 
0, 7662, 
2, 0, 
4, 12888, 
1, 7018, 
3, 3444, 
2, 206, 
4, 0, 
4, 0, 
1, 5061, 
3, 6897, 
0, 3550, 
0, 0, 
2, 708, 
4, 6037, 
1, 6369, 
0, 5844, 
4, 8896, 
3, 17500, 
2, 14443, 
1, 18964, 
0, 24260, 
4, 19518, 
3, 30162, 
2, 20952, 
1, 22909, 
0, 20448, 
4, 19581, 
3, 23706, 
2, 29463, 
1, 23037, 
0, 24968, 
4, 12329, 
3, 13912, 
2, 15874, 
1, 17475, 
0, 19025, 
4, 15570, 
3, 23823, 
2, 23966, 
1, 16477, 
0, 16605, 
4, 16121, 
1, 231, 
3, 13901, 
2, 17664, 
1, 17062, 
0, 20440, 
4, 18234, 
3, 15069, 
2, 12283, 
