Philosopher, time of waiting for dining,
3, 7, 
1, 8, 
4, 1745, 
3, 3076, 
0, 8895, 
2, 17376, 
4, 6387, 
1, 7005, 
4, 1, 
2, 1946, 
1, 1354, 
3, 3329, 
0, 9151, 
2, 2312, 
4, 2190, 
0, 2053, 
1, 2402, 
3, 0, 
4, 601, 
2, 2, 
1, 985, 
3, 7407, 
0, 5595, 
3, 0, 
1, 5380, 
4, 5370, 
2, 8068, 
0, 7977, 
0, 1, 
4, 3093, 
1, 4988, 
3, 12112, 
0, 1, 
2, 2229, 
3, 4067, 
1, 2884, 
4, 11245, 
2, 1, 
1, 815, 
3, 3419, 
0, 5593, 
2, 1, 
4, 1, 
1, 6002, 
3, 0, 
0, 1, 
2, 1, 
4, 2791, 
1, 4774, 
2, 2936, 
0, 2917, 
3, 9534, 
2, 0, 
4, 368, 
1, 13690, 
1, 0, 
2, 2001, 
0, 2155, 
4, 588, 
4, 1, 
1, 6566, 
3, 20313, 
0, 8683, 
2, 13365, 
4, 7832, 
0, 3084, 
0, 0, 
3, 2980, 
1, 15481, 
4, 2453, 
2, 4802, 
1, 1, 
3, 5404, 
0, 9889, 
2, 4178, 
3, 160, 
1, 1, 
4, 2786, 
3, 1, 
0, 6046, 
2, 6683, 
3, 3, 
3, 1, 
2, 1923, 
4, 10600, 
1, 7117, 
3, 0, 
0, 11818, 
2, 1794, 
2, 1, 
4, 8882, 
0, 2, 
3, 3166, 
2, 3911, 
4, 5256, 
1, 20456, 
2, 2374, 
0, 6016, 
3, 7432, 
0, 1, 
2, 4149, 
4, 12201, 
1, 11826, 
3, 6553, 
0, 1127, 
3, 0, 
1, 1, 
2, 6814, 
4, 5581, 
0, 136, 
2, 1, 
2, 1, 
4, 4112, 
0, 1, 
3, 3442, 
2, 1, 
4, 4887, 
0, 220, 
3, 1, 
1, 23766, 
4, 3719, 
2, 6277, 
0, 1159, 
3, 2709, 
1, 0, 
0, 552, 
2, 1593, 
4, 9029, 
1, 1294, 
3, 260, 
0, 1, 
1, 1, 
4, 3164, 
2, 603, 
0, 3346, 
3, 4673, 
4, 4317, 
1, 2419, 
3, 0, 
4, 1, 
0, 5440, 
2, 5705, 
0, 0, 
3, 5548, 
2, 2170, 
4, 5496, 
1, 6082, 
0, 2838, 
2, 0, 
4, 1602, 
1, 5573, 
