Philosopher, time of waiting for dining,
4, 1, 
1, 3, 
3, 876, 
0, 4758, 
2, 4761, 
4, 8637, 
1, 1883, 
3, 698, 
0, 634, 
2, 6744, 
4, 6595, 
3, 14835, 
2, 11900, 
1, 24056, 
0, 18580, 
4, 11763, 
3, 22080, 
2, 23594, 
1, 26932, 
0, 24426, 
4, 19053, 
3, 21955, 
2, 17727, 
1, 25479, 
0, 18532, 
4, 8449, 
3, 14848, 
1, 0, 
0, 2064, 
2, 4937, 
4, 9043, 
1, 7872, 
3, 18074, 
0, 7152, 
2, 3463, 
2, 0, 
4, 1, 
1, 6522, 
3, 8282, 
0, 7422, 
2, 7981, 
1, 13098, 
0, 20193, 
4, 28565, 
3, 30266, 
2, 25723, 
1, 19538, 
0, 19915, 
4, 6165, 
1, 0, 
3, 4702, 
0, 3620, 
2, 3394, 
4, 9930, 
1, 8248, 
3, 3846, 
0, 426, 
2, 2117, 
4, 5618, 
1, 7495, 
3, 3382, 
0, 7773, 
4, 5889, 
3, 6672, 
0, 2359, 
2, 17528, 
4, 7619, 
3, 6745, 
1, 16564, 
0, 7110, 
2, 2118, 
4, 2335, 
1, 1, 
3, 10365, 
0, 7159, 
2, 1965, 
1, 774, 
0, 7373, 
4, 13100, 
3, 17354, 
2, 18172, 
1, 10474, 
0, 15068, 
4, 17417, 
3, 7866, 
2, 17748, 
1, 22530, 
0, 7357, 
4, 8540, 
1, 0, 
3, 5193, 
3, 0, 
0, 5788, 
2, 14987, 
1, 9887, 
0, 9693, 
2, 1, 
4, 19637, 
1, 4772, 
3, 8679, 
0, 1189, 
2, 3890, 
4, 13729, 
1, 7511, 
3, 9106, 
0, 6880, 
2, 7890, 
1, 12798, 
0, 18146, 
4, 25457, 
3, 18249, 
2, 20956, 
1, 16624, 
0, 15959, 
4, 18808, 
3, 17471, 
2, 16955, 
1, 12986, 
0, 19864, 
2, 7340, 
4, 16606, 
1, 0, 
3, 7724, 
0, 6593, 
2, 7610, 
4, 5148, 
1, 54, 
2, 132, 
0, 4302, 
4, 2832, 
1, 0, 
3, 12114, 
2, 10340, 
1, 6631, 
0, 18260, 
4, 22925, 
3, 20802, 
2, 16054, 
1, 12891, 
0, 11781, 
4, 4979, 
3, 7832, 
2, 9164, 
1, 14184, 
0, 18686, 
4, 18568, 
3, 20055, 
2, 11790, 
1, 16532, 
0, 24248, 
4, 21000, 
3, 13718, 
2, 6750, 
4, 1, 
1, 11938, 
3, 2723, 
0, 10473, 
4, 8467, 
3, 13254, 
2, 18751, 
1, 11842, 
0, 15849, 
4, 8670, 
3, 10711, 
2, 7755, 
1, 10422, 
0, 22289, 
4, 18129, 
3, 20642, 
2, 16365, 
4, 1989, 
1, 5612, 
4, 0, 
2, 4799, 
0, 754, 
3, 390, 
1, 3648, 
4, 3152, 
2, 5728, 
0, 470, 
3, 191, 
1, 0, 
0, 8346, 
4, 22499, 
3, 21607, 
2, 28497, 
1, 22184, 
0, 12349, 
4, 18432, 
3, 13168, 
2, 6922, 
1, 9104, 
3, 811, 
0, 10831, 
2, 1, 
4, 7234, 
1, 4347, 
3, 3966, 
0, 7251, 
2, 11413, 
4, 92, 
1, 7642, 
1, 0, 
3, 4910, 
0, 6494, 
2, 6659, 
4, 7335, 
3, 4320, 
0, 3840, 
2, 0, 
4, 5759, 
1, 12160, 
3, 4885, 
0, 7861, 
4, 10724, 
3, 11137, 
2, 20384, 
1, 16175, 
0, 15946, 
4, 12761, 
3, 12077, 
2, 11347, 
1, 3196, 
3, 0, 
0, 4081, 
2, 4556, 
1, 4067, 
0, 10117, 
4, 11810, 
3, 5937, 
0, 137, 
2, 12442, 
4, 6073, 
1, 11210, 
0, 4281, 
4, 7834, 
3, 10045, 
2, 13522, 
1, 13857, 
0, 10845, 
4, 17653, 
1, 3851, 
3, 18548, 
2, 11059, 
1, 11714, 
0, 10487, 
4, 13381, 
3, 12860, 
2, 10570, 
1, 11938, 
0, 15104, 
4, 21265, 
3, 19182, 
2, 21203, 
1, 24514, 
0, 31023, 
4, 29480, 
3, 21535, 
2, 21786, 
1, 16989, 
0, 12116, 
4, 6041, 
3, 6036, 
2, 10635, 
1, 20116, 
0, 15568, 
4, 17901, 
3, 12232, 
2, 3139, 
4, 1, 
1, 8320, 
3, 4215, 
0, 10155, 
2, 181, 
4, 3404, 
1, 3452, 
3, 3108, 
4, 4002, 
1, 1, 
3, 1, 
0, 7143, 
2, 8009, 
4, 1754, 
1, 4630, 
3, 2089, 
0, 5625, 
1, 0, 
0, 1257, 
2, 2259, 
4, 4814, 
1, 3912, 
2, 1758, 
0, 875, 
3, 3395, 
1, 5276, 
4, 105, 
2, 3661, 
0, 2479, 
4, 7935, 
1, 8184, 
3, 12019, 
0, 1415, 
2, 5312, 
4, 3252, 
1, 4713, 
3, 10616, 
0, 7019, 
2, 6542, 
4, 1, 
1, 8788, 
3, 0, 
0, 7401, 
2, 62, 
4, 4320, 
1, 3041, 
3, 3940, 
0, 2155, 
2, 1968, 
4, 0, 
3, 0, 
1, 0, 
3, 0, 
0, 4747, 
2, 986, 
4, 10519, 
1, 2861, 
3, 7139, 
4, 1302, 
2, 1017, 
0, 4261, 
3, 0, 
2, 0, 
4, 7263, 
1, 8334, 
3, 6158, 
0, 852, 
2, 5229, 
4, 7228, 
1, 10213, 
0, 5833, 
4, 5710, 
1, 0, 
3, 6894, 
0, 1334, 
2, 5117, 
1, 7015, 
3, 681, 
0, 4331, 
2, 1, 
4, 11864, 
1, 9148, 
3, 4276, 
0, 4371, 
4, 13950, 
3, 15868, 
2, 19224, 
1, 23689, 
0, 19884, 
4, 27299, 
3, 25500, 
2, 27384, 
1, 28680, 
0, 16485, 
4, 13202, 
1, 1, 
3, 9771, 
0, 6368, 
2, 10448, 
4, 8932, 
1, 2628, 
3, 4956, 
3, 0, 
0, 6674, 
2, 0, 
4, 5525, 
1, 4202, 
3, 793, 
4, 2899, 
3, 1128, 
0, 0, 
2, 4509, 
4, 4935, 
1, 2970, 
3, 5149, 
0, 7460, 
2, 12723, 
2, 1, 
4, 6872, 
1, 6098, 
3, 8948, 
0, 1480, 
2, 5913, 
4, 4993, 
1, 11387, 
3, 4946, 
0, 2916, 
2, 1, 
4, 6593, 
1, 6818, 
3, 8101, 
0, 9762, 
2, 0, 
4, 10351, 
3, 11099, 
2, 7784, 
1, 14032, 
0, 9933, 
4, 7019, 
1, 57, 
3, 7164, 
3, 0, 
0, 0, 
2, 6140, 
4, 7657, 
0, 1, 
1, 859, 
3, 0, 
0, 9977, 
2, 7564, 
4, 6182, 
